Word,Language,Count,Count_Log
monde,fr,29,3.4011973816621555
des,fr,23,3.1780538303479458
aux,fr,19,2.995732273553991
article,fr,17,2.8903717578961645
abonns,fr,15,2.772588722239781
rserv,fr,15,2.772588722239781
par,fr,14,2.70805020110221
pour,fr,14,2.70805020110221
une,fr,14,2.70805020110221
dans,fr,13,2.6390573296152584
plus,fr,12,2.5649493574615367
meilleurs,fr,11,2.4849066497880004
sur,fr,10,2.3978952727983707
avec,fr,9,2.302585092994046
dcouvrir,fr,9,2.302585092994046
qui,fr,9,2.302585092994046
aprs,fr,8,2.1972245773362196
est,fr,8,2.1972245773362196
ligne,fr,8,2.1972245773362196
cours,fr,7,2.0794415416798357
politique,fr,7,2.0794415416798357
trump,fr,7,2.0794415416798357
voir,fr,7,2.0794415416798357
jeux,fr,6,1.9459101490553132
meilleures,fr,6,1.9459101490553132
mots,fr,6,1.9459101490553132
nos,fr,6,1.9459101490553132
votre,fr,6,1.9459101490553132
charlie,fr,5,1.791759469228055
kirk,fr,5,1.791759469228055
loi,fr,5,1.791759469228055
que,fr,5,1.791759469228055
chef,fr,4,1.6094379124341003
jour,fr,4,1.6094379124341003
journalistes,fr,4,1.6094379124341003
lassassinat,fr,4,1.6094379124341003
lecornu,fr,4,1.6094379124341003
lecture,fr,4,1.6094379124341003
marine,fr,4,1.6094379124341003
min,fr,4,1.6094379124341003
mmorable,fr,4,1.6094379124341003
pas,fr,4,1.6094379124341003
pen,fr,4,1.6094379124341003
sabonner,fr,4,1.6094379124341003
sbastien,fr,4,1.6094379124341003
service,fr,4,1.6094379124341003
soir,fr,4,1.6094379124341003
trs,fr,4,1.6094379124341003
ans,fr,3,1.3862943611198906
atelier,fr,3,1.3862943611198906
boutique,fr,3,1.3862943611198906
chaque,fr,3,1.3862943611198906
comprendre,fr,3,1.3862943611198906
conomique,fr,3,1.3862943611198906
crise,fr,3,1.3862943611198906
croiss,fr,3,1.3862943611198906
culture,fr,3,1.3862943611198906
damnistie,fr,3,1.3862943611198906
dcouvrez,fr,3,1.3862943611198906
dcriture,fr,3,1.3862943611198906
deux,fr,3,1.3862943611198906
donald,fr,3,1.3862943611198906
fin,fr,3,1.3862943611198906
france,fr,3,1.3862943611198906
gauche,fr,3,1.3862943611198906
gnrale,fr,3,1.3862943611198906
gratuit,fr,3,1.3862943611198906
grilles,fr,3,1.3862943611198906
guides,fr,3,1.3862943611198906
laffaire,fr,3,1.3862943611198906
ministre,fr,3,1.3862943611198906
notre,fr,3,1.3862943611198906
nouvelles,fr,3,1.3862943611198906
ont,fr,3,1.3862943611198906
philippe,fr,3,1.3862943611198906
retraites,fr,3,1.3862943611198906
selon,fr,3,1.3862943611198906
septembre,fr,3,1.3862943611198906
sudoku,fr,3,1.3862943611198906
tous,fr,3,1.3862943611198906
trangers,fr,3,1.3862943611198906
tre,fr,3,1.3862943611198906
alexandre,fr,2,1.0986122886681098
articles,fr,2,1.0986122886681098
autour,fr,2,1.0986122886681098
balais,fr,2,1.0986122886681098
carbone,fr,2,1.0986122886681098
cartes,fr,2,1.0986122886681098
cas,fr,2,1.0986122886681098
chaleur,fr,2,1.0986122886681098
chargeurs,fr,2,1.0986122886681098
chronique,fr,2,1.0986122886681098
colre,fr,2,1.0986122886681098
comment,fr,2,1.0986122886681098
coussins,fr,2,1.0986122886681098
couteaux,fr,2,1.0986122886681098
dachat,fr,2,1.0986122886681098
darrive,fr,2,1.0986122886681098
delphine,fr,2,1.0986122886681098
demmanuel,fr,2,1.0986122886681098
detat,fr,2,1.0986122886681098
devant,fr,2,1.0986122886681098
difficile,fr,2,1.0986122886681098
direct,fr,2,1.0986122886681098
directrice,fr,2,1.0986122886681098
discussion,fr,2,1.0986122886681098
drones,fr,2,1.0986122886681098
droulant,fr,2,1.0986122886681098
dsordre,fr,2,1.0986122886681098
dun,fr,2,1.0986122886681098
dupuis,fr,2,1.0986122886681098
editorialiste,fr,2,1.0986122886681098
empreinte,fr,2,1.0986122886681098
enjeux,fr,2,1.0986122886681098
entretien,fr,2,1.0986122886681098
etatsunis,fr,2,1.0986122886681098
figure,fr,2,1.0986122886681098
